section,row,seat,price_usd,selection_type,scraped_at
1,17,17,,,2026-07-18T23:45:32Z
1,17,18,,,2026-07-18T23:45:32Z
1,17,19,,,2026-07-18T23:45:32Z
1,17,20,,,2026-07-18T23:45:32Z
102,11,13,,,2026-07-18T23:45:32Z
102,11,14,,,2026-07-18T23:45:32Z
105,1,11,,,2026-07-18T23:45:32Z
105,1,12,,,2026-07-18T23:45:32Z
105,7,10,,,2026-07-18T23:45:32Z
105,7,11,,,2026-07-18T23:45:32Z
106,4,12,,,2026-07-18T23:45:32Z
106,4,13,,,2026-07-18T23:45:32Z
106,5,1,,,2026-07-18T23:45:32Z
106,5,2,,,2026-07-18T23:45:32Z
11,3,15,,,2026-07-18T23:45:32Z
11,3,16,,,2026-07-18T23:45:32Z
11,6,4,,,2026-07-18T23:45:32Z
11,6,5,,,2026-07-18T23:45:32Z
114,10,11,,,2026-07-18T23:45:32Z
114,10,12,,,2026-07-18T23:45:32Z
115,1,4,,,2026-07-18T23:45:32Z
115,1,3,,,2026-07-18T23:45:32Z
118,4,14,,,2026-07-18T23:45:32Z
118,4,15,,,2026-07-18T23:45:32Z
13,5,17,,,2026-07-18T23:45:32Z
13,5,18,,,2026-07-18T23:45:32Z
15,12,9,,,2026-07-18T23:45:32Z
15,12,10,,,2026-07-18T23:45:32Z
15,14,11,,,2026-07-18T23:45:32Z
15,14,12,,,2026-07-18T23:45:32Z
16,12,7,,,2026-07-18T23:45:32Z
16,12,8,,,2026-07-18T23:45:32Z
16,12,11,,,2026-07-18T23:45:32Z
16,12,12,,,2026-07-18T23:45:32Z
16,3,11,,,2026-07-18T23:45:32Z
16,3,12,,,2026-07-18T23:45:32Z
16,7,14,,,2026-07-18T23:45:32Z
16,7,11,,,2026-07-18T23:45:32Z
16,7,12,,,2026-07-18T23:45:32Z
16,7,13,,,2026-07-18T23:45:32Z
17,3,11,,,2026-07-18T23:45:32Z
17,3,12,,,2026-07-18T23:45:32Z
20,20,4,,,2026-07-18T23:45:32Z
20,20,3,,,2026-07-18T23:45:32Z
8,25,15,,,2026-07-18T23:45:32Z
8,25,16,,,2026-07-18T23:45:32Z
8,26,1,,,2026-07-18T23:45:32Z
8,26,2,,,2026-07-18T23:45:32Z
8,26,3,,,2026-07-18T23:45:32Z
8,26,4,,,2026-07-18T23:45:32Z
CRT-HM,1,1,,,2026-07-18T23:45:32Z
CRT-HM,1,2,,,2026-07-18T23:45:32Z
CRT-K,2,13,,,2026-07-18T23:45:32Z
CRT-K,2,14,,,2026-07-18T23:45:32Z
